"Country Name","Country Code","Year","average_value_Contributing family workers, female (% of female employment) (modeled ILO estimate)","average_value_Contributing family workers, male (% of male employment) (modeled ILO estimate)","average_value_Contributing family workers, total (% of total employment) (modeled ILO estimate)","average_value_Employment in industry (% of total employment) (modeled ILO estimate)","average_value_Employment in industry, female (% of female employment) (modeled ILO estimate)","average_value_Employment in industry, male (% of male employment) (modeled ILO estimate)","average_value_Employment in services (% of total employment) (modeled ILO estimate)","average_value_Employment in services, female (% of female employment) (modeled ILO estimate)","average_value_Employment in services, male (% of male employment) (modeled ILO estimate)","average_value_Employment to population ratio, 15+, female (%) (national estimate)","average_value_Employment to population ratio, 15+, male (%) (national estimate)","average_value_Employment to population ratio, 15+, total (%) (national estimate)","average_value_GDP per person employed (constant 2017 PPP $)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, female (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (national estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (national estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Labor force, female (% of total labor force)","average_value_Labor force, total","average_value_Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","average_value_Ratio of female to male labor force participation rate (%) (national estimate)","average_value_Share of youth not in education, employment or training, female (% of female youth population)","average_value_Share of youth not in education, employment or training, male (% of male youth population)","average_value_Share of youth not in education, employment or training, total (% of youth population)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, female (% of female labor force) (national estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (national estimate)","average_value_Unemployment, total (% of total labor force) (modeled ILO estimate)","average_value_Unemployment, total (% of total labor force) (national estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","average_value_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","average_value_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","average_value_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Africa Western and Central","AFW","2004","26.3327069215402","14.794310318974","20.0440940968777","11.2665407685449","10.4990925404433","11.9074693521998","34.3537644520467","37.6844381444085","31.5802267555194","","","","9166.92587452908","39.5510680188632","","45.9552700089883","","42.7782255002114","","58.5080283781583","","59.2736723228792","71.3835333216105","","71.7208451338156","64.8954816164456","","65.4772169979421","45.4304497493181","107488412","82.5938806791182","","","","","4.75428620207592","","4.57602762555629","","4.65535191170189","","8.90253889074755","","9.24755000654255","","9.03093419822647","","8.41512372681373","18.2573164481985","13.7762799970435"
"United Arab Emirates","ARE","1985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05","","1.05","","1.15","","","","","","","","",""
"American Samoa","ASM","1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.08","","","","","","","","",""
"Austria","AUT","2001","3.91000008583069","1.53999996185303","2.5699999332428","29.3700008392334","13.8000001907349","41.4500007629395","64.8300018310547","79.9199981689453","53.1199989318848","47.33","65.27","55.9","100901.038908075","50.14","50.15","59.44","59.29","54.88","54.68","48.78","49.37","62.09","67.89","67.93","78.92","57.95","58.24","70.55","43.7584164753744","3886722","71.8515245249669","72.6777565140586","","","","4.13","4.13","3.91","3.91","4.01","4.01","5.78","5.8","6.19","6.22","6.01","6.03","87.7399978637695","85.6800003051758","86.5800018310547"
"Benin","BEN","2009","21.6299991607666","13.5900001525879","17.5699996948242","18.7600002288818","17.6399993896484","19.8600006103516","36.7900009155273","45.0999984741211","28.6399993896484","","","","6895.73917165133","46.61","","41.42","","44","","68.93","","70.4","73.68","","73.88","71.25","","72.11","49.5181137547498","3568062","93.5532030401737","","","","","1","","0.95","","0.97","","2.36","","1.49","","1.95","","4.53999996185303","15.1700000762939","9.90999984741211"
"Belize","BLZ","2016","5.21999979019165","3.29999995231628","4.01000022888184","15.710000038147","9.31999969482422","19.4699993133545","65.7300033569336","86.0699996948242","53.75","43.73","76.01","59.75","17402.1990083681","34.58","32.83","62.91","60.33","48.73","46.37","49.96","49.21","52.31","80.4","79.51","83.12","65.03","64.25","67.52","38.7841437619248","164049","62.1393034825871","61.8915859640297","39.3499984741211","15.0299997329712","27.3799991607666","11.12","11.14","4.39","4.4","7","7","25.93","25.66","11.01","11.02","16.3","16.28","65.0500030517578","67.3600006103516","66.5"
"Brunei Darussalam","BRN","2018","0.540000021457672","0.409999996423721","0.469999998807907","19.3999996185303","9.01000022888184","26.9599990844727","79.5400009155273","90.4499969482422","71.5999984741211","51.54","67.13","59.71","129058.114020965","35.23","35.27","45.1","45.08","40.39","40.66","58.48","57.31","62.15","74.03","72.74","77.43","66.58","65.39","70.15","42.0768929848343","219838","78.9950020262056","78.787462194116","23.2600002288818","18.6299991607666","20.7199993133545","10.06","10.07","7.71","7.72","8.7","8.7","33.24","32.53","30.28","28.16","31.51","29.87","91.4800033569336","93.120002746582","92.4300003051758"
"Congo, Dem. Rep.","COD","1993","59.4199981689453","22.5699996948242","41.4000015258789","9.14999961853027","3.98000001907349","14.5600004196167","18.4599990844727","16.0900001525879","20.9500007629395","","","","3050.5017579875","49.75","","39.61","","44.68","","70.58","","71.52","71.89","","72.11","71.22","","71.81","50.7708199719984","15077710","98.1777715954931","","","","","2.3","","3.5","","2.89","","3.71","","6.01","","4.73","","3.89000010490417","15.7600002288818","9.69999980926514"
"Costa Rica","CRI","1984","","","","","","","","","","","","","","","21.98","","69.23","","45.49","","22.28","","","79.54","","","50.58","","","","","28.0110636157908","","","","","","","","","","","","","","","","","",""
"Caribbean small states","CSS","2009","2.3254461261667","0.872490037320774","1.47574221251585","21.1459030497232","8.59333492318362","29.9898811393307","66.329353027827","85.8725956493063","52.5602510867501","48.4244899408387","67.5060261900467","57.7292862287176","39894.1170933083","34.5176877501134","","49.3313784110278","","42.0086682169868","","52.5333768552012","55.29572775826","57.6871427466487","73.4403274509705","73.209116859452","78.1025498459423","62.8083970224703","64.0361730488237","67.8105966254547","42.5443640804894","3031901","72.0307140941696","75.8678793059546","","","","12.3510319535655","12.3859918169702","8.03116650639967","7.85208553658398","9.86938248313517","9.87076079392736","29.5220618486894","","18.7522860050638","","23.0930474920127","","75.8751559801212","66.0073802641697","70.0795321010573"
"Cayman Islands","CYM","1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.94","","","","","","","","",""
"Cyprus","CYP","1977","","","","","","","","","","19.26","35.75","27.5","","","","","","","","","","","","","","","33.39","","","","","","","","","","3.1","","3","","3.1","","","","","","","","",""
"Dominican Republic","DOM","2016","3.45000004768372","1.16999995708466","2.03999996185303","19.0100002288818","9.06999969482422","25.1299991607666","72.0599975585938","89.7900009155273","61.1500015258789","43.8","72.92","57.9","38057.3147986506","32.55","32.43","57.92","56.87","45.4","44.72","50.39","49.03","54.22","78.02","76.75","81.49","64.11","62.45","67.84","39.5690839354955","4763944","64.5860035888234","63.8827361563518","31.6200008392334","19.2000007629395","25.3700008392334","10.73","10.65","5.03","4.99","7.28","7.28","26.06","25.82","11.79","11.64","16.84","16.75","68.8099975585938","49.6100006103516","56.9300003051758"
"Europe & Central Asia","ECS","2006","4.54731271456214","2.19461699087654","3.24068528336713","26.8682618413424","15.6856477246746","35.8458096977889","61.7577154478921","73.6021273606477","52.2527202610755","46.052665747451","61.0901570268925","53.3455192565405","69714.6322321657","37.1855387395571","37.1484511509782","47.27408407953","46.5747841326373","42.3157349355985","41.8770474761791","48.9260480116379","50.1727577090959","60.5150614056715","66.3495686202874","66.0215957753208","76.318672521655","57.2352978524661","57.8051777912687","68.3283952261619","44.71691933388","410059603","74.6002598290798","76.8507476005653","19.2819398802074","12.5281539316585","15.812384176121","8.4654826824213","8.40873114208979","7.78187979268592","7.73829890722114","8.08926342273352","7.78672964139713","18.3322788722927","19.177053702708","16.9074393426508","17.6547271311577","17.4766671899987","18.2769955162346","83.3628542109086","78.2556285111624","80.5310197137107"
"Estonia","EST","2008","0.280000001192093","0.159999996423721","0.219999998807907","35.2700004577637","22.0900001525879","47.8199996948242","60.8300018310547","75.5","46.8600006103516","51.93","64.79","57.77","60023.282725858","37.99","37.07","46.29","44.5","42.26","40.84","54.89","54.74","70.31","69.04","68.75","78.55","61.35","61.11","74.33","48.6229908017878","697853","79.5046349942062","79.6218181818182","9.71000003814697","8.5","9.09000015258789","5.14","5.14","5.76","5.76","5.46","5.45","11.27","11.29","12.52","12.61","11.97","12.02","95.0199966430664","89.2699966430664","92.0699996948242"
"Haiti","HTI","2018","29.1800003051758","15.0500001907349","21.5200004577637","6.69999980926514","2","10.6599998474121","64.0800018310547","84.6800003051758","46.7000007629395","","","","7636.01531973122","31.65","","38.32","","34.98","","63.6","","65.01","72.5","","72.5","67.93","","68.68","48.1198508941257","5044201","87.7241379310345","","","","","16.4","","10.96","","13.58","","37.54","","23.57","","29.89","","18.1100006103516","33.4900016784668","26.4500007629395"
"Jamaica","JAM","1998","3.48000001907349","1.29999995231628","2.20000004768372","18.2700004577637","8.44999980926514","25.1200008392334","60.7299995422363","81.7900009155273","46.0499992370605","","","","24111.6380204065","42.47","42.47","51.24","51.24","46.84","46.79","59.68","57.61","65.2","76.65","73.61","80.31","68.02","65.34","72.67","44.61889208815","1194373","77.8604044357469","78.2638228501562","","","","22.23","22.09","10.08","10.02","15.5","15.5","47.8","43.87","27.41","24.12","36.68","33.19","66.0500030517578","54.9000015258789","59.4799995422363"
"Latin America & Caribbean (excluding high income)","LAC","1999","12.995472549221","6.2427743668027","8.75846364130384","21.8640458967072","15.2584117397668","25.7915884094873","58.1821539810128","73.9895333131093","48.774351875914","42.4419020472882","74.0746078751836","57.5412497589239","30470.6636119352","42.651918222334","43.9844745037208","67.6670825095671","70.1332302170521","55.1649991372366","56.9354566573343","47.2614458831367","47.253118408994","50.6282094229668","80.1827781457783","81.1984488023305","83.4298298649094","63.2932254710329","63.5279074995702","66.7343840977255","38.3127976258085","197521723","59.4619926577724","58.7286938198909","","","","11.3221117934754","12.0147533503067","7.32365965033476","7.73723643376367","8.85745872498287","9.45477952060826","19.6096963257567","17.0653843879669","13.5555215466448","11.2285823351783","15.9196842608289","13.5157285344579","59.9274974093403","58.3258712433013","58.9226913488902"
"Lebanon","LBN","2015","1.99000000953674","1.39999997615814","1.53999996185303","25.3299999237061","13.8299999237061","28.7999992370605","61.8699989318848","74.0800018310547","58.1800003051758","","","","51166.6905502841","17.53","","41.21","","29.04","","22.52","","24.64","71.29","","75.32","46.79","","50","24.1753803650929","2221024","31.5892832094263","","","","","10.27","","5.05","","6.31","","20.98","","15.73","","17.36","","85.4499969482422","57.5999984741211","64.0500030517578"
"Latvia","LVA","2019","0.479999989271164","0.740000009536743","0.610000014305115","23.7199993133545","11.9200000762939","35.7200012207031","68.9899978637695","83.7300033569336","53.9900016784668","52.66","63.12","57.36","64080.1132618804","32.66","32.83","39.7","39.56","36.28","36.29","55.79","55.68","75.36","68.31","68.02","80.23","61.42","61.23","77.74","50.0132652013617","983777","81.6717903674425","81.8582769773596","6.8600001335144","8.8100004196167","7.8600001335144","5.43","5.43","7.2","7.2","6.31","6.31","10.17","10.13","14.28","14.21","12.48","12.42","90.120002746582","86.6900024414063","88.4199981689453"
"Morocco","MAR","2019","34.8400001525879","8.92000007629395","15.0900001525879","23.0900001525879","13.3000001907349","26.1499996185303","43.6599998474121","34.5800018310547","46.4900016784668","","","","25401.7451240518","13.17","","39.23","","26.48","","21.59","","23.37","70.14","","74.9","45.37","","48.73","24.2802574862241","12084530","30.7812945537496","","","","","10.47","","8.54","","9.01","","22.88","","22.1","","22.29","","42.8899993896484","54.1100006103516","51.439998626709"
"Middle East & North Africa","MEA","2012","17.455983201833","3.65293310320185","6.18544687261638","27.1945432221397","13.0083468054571","30.3777974913044","54.7512595196872","63.5022202879898","52.7861512136466","16.8123857626323","65.2129221671694","41.5087096395246","52049.5949463138","13.2453342816672","13.9629140361674","46.48454156738","45.1226508608437","30.2875194993969","30.3041904708159","19.8887659496905","20.1118658366669","21.2113084538888","73.6587143537615","71.0085420870264","77.0188779216175","47.7796085743551","46.039265502292","50.3392959454386","20.0335717686289","134313449","29.4139677576687","","","","","17.8191398696162","18.4333484593152","8.2788182832178","8.76139493532274","10.1903573183528","10.8202053450405","40.6289257464235","43.0237641521851","22.4893056198379","23.4030764365039","26.3419619307684","27.529565114235","66.5752851773651","68.6185821453603","68.2412954034709"
"Montenegro","MNE","2013","1.53999996185303","0.990000009536743","1.24000000953674","17.7700004577637","7.76999998092651","25.8799991607666","77.6699981689453","89.6699981689453","67.9499969482422","35.44","45.44","40.32","53484.2041312634","22.82","21.98","30.46","28.81","26.79","25.5","43.07","43.65","52.66","56.68","56.83","65.13","49.71","50.08","58.91","44.3965912580204","250767","75.9880028228652","76.8080239310223","16.9400005340576","19.9899997711182","18.5100002288818","18.82","18.82","20.04","20.04","19.5","19.5","37.26","37.21","42.86","42.92","40.57","40.53","89.1699981689453","79.7900009155273","83.9899978637695"
"Malawi","MWI","2001","9.22000026702881","9.68000030517578","9.44999980926514","6.15999984741211","3.67000007629395","8.56999969482422","12.9300003051758","9.11999988555908","16.6399993896484","","","","2612.47266882981","58.63","","52.32","","55.5","","75.62","","75.41","80.12","","79.51","77.82","","77.42","49.7850658990339","4778674","94.383424862706","","","","","6.9","","5.13","","6.01","","8.54","","7.75","","8.17","","37.1199989318848","40.7299995422363","38.9500007629395"
"Panama","PAN","1988","","","","","","","","","","28.23","67.18","47.64","","","30.94","","63.8","","47.61","","35.9","","","78.12","","","56.94","","","","","45.9549411162314","","","","","21.37","","14","","16.33","","","","","","","","",""
"Peru","PER","1982","","","","","","","","","","","","51.16","","","28.7","","55.17","","42.04","","31.48","","","79","","","55.2","","","","","39.8481012658228","","","","","","","","","6.98","","","","","","","","",""
"Philippines","PHL","1992","18.0799999237061","10.6499996185303","13.4700002670288","14.6899995803833","13.710000038147","15.3000001907349","40.0400009155273","54.0499992370605","31.4899997711182","","","","11180.2795251564","37.04","39.46","55.88","60.81","46.65","50.39","47.67","47.83","48.93","77.72","82.58","78.46","62.72","65.02","63.84","37.9562097076309","24248388","61.3355635615028","57.9195931218213","","","","3.87","11.54","3.45","8.89","3.61","9.87","11","","7.59","","8.91","","48.2400016784668","49.689998626709","49.1399993896484"
"Korea, Dem. People's Rep.","PRK","2004","40.810001373291","48.3800010681152","44.75","17.6499996185303","12.8000001907349","22.1200008392334","33.6199989318848","33.3600006103516","33.8600006103516","","","","","76.5","","76.34","","76.42","","75.09","","81.46","88.89","","91.27","81.72","","86.33","47.7428692524354","14536309","84.4751940600743","","","","","2.51","","3.35","","2.95","","5.57","","7.28","","6.44","","12.5200004577637","13.7299995422363","13.1499996185303"
"Post-demographic dividend","PST","2006","2.32900859192221","0.576958052389988","1.35398038838075","25.1199463172711","12.9720212738187","34.8148476807925","70.5435952274983","83.4197964742649","60.2668414073506","49.8462308273715","65.8059607663631","57.5565355719122","91739.898692583","47.4257960929168","49.407623175323","51.8140080530482","53.385648173187","49.6714034366369","51.4558863674701","52.2709221208023","53.0681184689435","64.4078088448252","69.1580520231575","69.4922096490981","79.6067681766066","60.4601749181285","61.1052926069376","72.0146144677623","44.5246392676426","526335995","75.9625595609048","76.6680932480216","14.691773875697","11.6285979949012","13.1447505033526","6.21221184557555","6.15515003117784","5.70649660560793","5.63825923014906","5.93081691836099","5.86907976606195","12.9403062145254","13.0622895354794","13.2221676283404","13.3689777675652","13.0420564978287","13.1574403238976","88.7468605557039","84.0193889152376","86.117669469111"
"Saudi Arabia","SAU","2014","0.0399999991059303","0.0299999993294477","0.0299999993294477","23.0300006866455","1.6599999666214","26.2000007629395","71.7099990844727","98.0599975585938","67.8099975585938","16","76.03","50.97","125913.636707464","9.21","8.73","27.89","26.27","18.81","17.65","20.83","20.4","21.81","79.19","78.19","81.04","55.19","54.06","56.85","15.5233410360936","12556105","26.303826240687","26.0902928763269","29","7.98000001907349","18.3199996948242","21.72","21.58","2.78","2.76","5.72","5.72","58.45","57.95","21.51","21.28","30.3","30.2","98.6100006103516","94.4499969482422","94.9800033569336"
"Sudan","SDN","1998","36.1199989318848","9.82999992370605","16.6700000762939","11.2700004577637","3.44000005722046","14.0200004577637","36.5099983215332","30.7099990844727","38.560001373291","","","","10170.0730255051","25.64","","44.37","","35.09","","28.4","","29.45","74.6","","74.81","51.39","","52.11","27.7633171116577","7488129","38.0697050938338","","","","","20.4","","13.51","","15.43","","29.08","","27.56","","28.11","","28.3700008392334","41.6699981689453","38.2099990844727"
"Senegal","SEN","1992","32.8800010681152","27.5699996948242","29.2000007629395","13.0200004577637","7.94000005722046","15.2700004577637","38.1399993896484","44.3499984741211","35.3899993896484","","","","8989.92411085453","28.52","","62.93","","45.74","","32.96","","34.13","74.59","","76.88","53.38","","55.19","31.4633479680268","2279287","44.1882289851186","","","","","7.76","","4.51","","5.53","","11.43","","7.05","","8.41","","7.23000001907349","15.5699996948242","13.0100002288818"
"Sierra Leone","SLE","1999","13.1599998474121","13.3800001144409","13.2700004577637","5.90999984741211","2.28999996185303","9.59000015258789","22.8899993896484","22.9699993133545","22.8199996948242","","","","2959.53311579921","45.79","","35.61","","40.65","","63.08","","65.85","65.34","","66.13","64.19","","65.99","49.766546501261","1599462","96.541169268442","","","","","2.32","","4.58","","3.46","","3.54","","7.11","","5.12","","3.45000004768372","11.8699998855591","7.63000011444092"
"San Marino","SMR","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.47","","3.36","","5.19","","","","","","","","",""
"Small states","SST","2015","9.06625287442893","4.5886497217863","6.28364319213557","23.1621134202398","9.35426921588043","31.5696244859289","57.1885452401609","69.9496149134084","49.4196635938494","","","","50948.0939655444","35.2835903008061","","46.5353708438208","","41.1846222076406","","53.915686506435","","58.1080287783595","74.5681852317743","","77.7936331957738","64.8067314444941","","68.6555047816186","39.3206362521014","17224115","73.9981908152114","","","","","13.250805547976","","7.71107469263298","","9.89006368280381","","27.8829914102748","","19.4738293541157","","22.9699231383152","","61.7333539310122","70.3919606516651","67.1012331190385"
"Suriname","SUR","1994","2.79999995231628","0.349999994039536","1.13999998569489","19.7099990844727","6.84999990463257","25.7900009155273","73.9599990844727","90.870002746582","65.9800033569336","28.6100006103516","57.3800010681152","42.7200012207031","45324.1401548444","19.67","17.99","40.32","42.96","30.29","30.58","32.92","33.67","35.68","66.17","64.47","70.94","49.67","48.77","53.59","32.8899192807362","141478","49.7506422850234","52.2258414766558","","","","15.14","15","11.51","11.4","12.7","12.7","33.18","","27.21","","29.09","","86.4300003051758","80.6699981689453","82.5199966430664"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2004","29.9239929628745","8.22953615872011","12.2672389335572","24.0653733298828","18.1415537528965","25.4201484706014","47.5828380016496","44.1348711134529","48.3672475478122","","","","32324.7761723433","16.2340533634699","","51.1832904480717","","33.9994598576518","","18.5572572458413","","19.7694915653176","73.0763491353772","","76.2309104470107","45.9239246530099","","48.233572106928","20.1249090364718","90319164","25.6994742763859","","","","","18.0311809244278","19.7377039562732","9.82458167860063","10.0023698267857","11.4754519553469","11.8126092458898","32.3264446844844","","21.1199099906739","","24.1420552816199","","50.0604383367926","57.0030899886213","55.7142959162801"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1992","39.6904232399991","21.152740261266","29.5534483966438","10.5505168953743","8.0296606301911","12.6401774267647","26.0448431969682","25.8114907853368","26.2333129766449","","","","7520.60784877206","50.7244889988648","","57.4199054862514","","54.0751743873752","","62.404340893399","","63.59273665465","77.9837658286931","","78.6460909600659","70.0697136320468","","71.0304085723905","45.2463886415614","205974083","81.5452272227061","","","","","6.25884027424616","","6.5095231139007","","6.39754329647829","","12.1010221940684","","12.0852516314207","","11.9932113632686","","11.9519214737582","23.6113113452373","18.3262637783598"
"Trinidad and Tobago","TTO","1989","","","","","","","","","","31.08","56.53","44.65","","","33.73","","63.67","","49.27","","41.18","","","71.37","","","57.29","","","","","57.6993134370184","","","","","24.46","","20.69","","21.95","","45.8","","36.88","","39.82","","",""
"Tunisia","TUN","2018","3.05999994277954","1.72000002861023","2.03999996185303","33.5","32.7200012207031","33.75","52.2200012207031","57.8300018310547","50.4500007629395","","","","36026.8477781677","17.83","","39.03","","28.79","","25.12","","28.24","69.03","","75.37","46.6","","51.53","27.5349885630783","4086764","36.3899753730262","","","","","22.96","22.76","12.61","12.5","15.46","15.46","38.92","","35.17","","36.29","","85.4300003051758","71.2099990844727","74.620002746582"
"United States","USA","2003","0.129999995231628","0.0599999986588955","0.0900000035762787","22.4500007629395","10.7600002288818","32.4099998474121","76.0500030517578","88.4300003051758","65.5","56.13","68.9","62.28","106612.926166399","55.64","59.23","59.46","63.86","57.59","61.56","58.45","59.51","68.68","72.47","73.51","80.86","65.3","66.24","74.78","45.8192953918041","149149954","80.6540637505175","80.9549721126377","19.1100006103516","15.3800001144409","17.2299995422363","5.66","5.67","6.27","6.27","5.99","5.99","11.3","11.42","13.23","13.35","12.32","12.43","93.8899993896484","91.1999969482422","92.4300003051758"
"World","WLD","2020","","","","","","","","","","","","","39642.8116561198","","","","","","","","","","","","","58.645120593948","","","","3386103268","","","","","","","","","","6.47128085605066","","","","","","","","","",""
"Australia","AUS","1997","1.30999994277954","0.610000014305115","0.910000026226044","21.8500003814697","10.6599998474121","30.3199996948242","73.2399978637695","85.870002746582","63.6800003051758","49.26","66.74","57.84","76094.2371426207","67.64","67.52","72.8","72.53","70.27","70.06","53.67","53.58","64.11","73.21","73","83.18","63.32","63.12","73.72","42.9359309615208","9222567","73.3096571506625","73.3972602739726","","","","8.07","8.07","8.58","8.58","8.36","8.36","14.62","14.66","16.89","16.93","15.82","15.85","84.4199981689453","76.4100036621094","79.8600006103516"
"Benin","BEN","1997","22.2700004577637","17.7299995422363","19.7399997711182","20.1800003051758","20.3600006103516","20.0300006866455","30.3099994659424","36.3899993896484","25.4599990844727","","","","5962.31823264333","56.63","","69.63","","63.12","","61.56","","62.91","84.55","","84.85","72.58","","73.53","44.1525023967624","2488774","72.8089887640449","","","","","0.58","","1.48","","1.08","","0.77","","1.65","","1.26","","4.03999996185303","13.9300003051758","9.53999996185303"
"Bangladesh","BGD","2013","50.5200004577637","6.61999988555908","18.2000007629395","19.0200004577637","14.3900003433228","20.6900005340576","35.9700012207031","20.6900005340576","41.439998626709","31.08","79.2","54.65","8867.45003202542","22.63","37.74","59.53","53.75","41.34","45.42","31.34","33.56","32.84","81.52","81.77","83.66","56.73","57.18","58.55","27.2885859004405","60365191","38.4445534838077","41.0419469242999","30.6800003051758","8.84000015258789","20.2099990844727","7.61","7.41","3.23","3.15","4.43","4.43","10.85","9.61","9.87","10.08","10.13","9.88","21.8299999237061","44.9199981689453","38.8300018310547"
"Bangladesh","BGD","2009","61.6100006103516","8.8100004196167","21.8400001525879","16.7900009155273","12.8699998855591","18.0799999237061","35.6800003051758","20.7600002288818","40.560001373291","","","","7552.44298558832","21.64","","65.56","","43.85","","29.36","","30.53","83.75","","85.77","57.01","","58.59","25.3144889133951","56177974","35.0567164179105","","","","","7.39","7.4","4.19","4.2","5","5","12.42","","7.89","","9","","17.6900005340576","43.5699996948242","37.1800003051758"
"Canada","CAN","1970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","6.5","","5.9","","","","","","","","",""
"Switzerland","CHE","2020","","","","","","","","","","59.39","69.97","64.6","125309.398080104","","64.57","","65.44","","65.02","","62.51","","","73.39","","67.52","67.87","","","4959300","","85.1750919743834","","","","","5","","4.66","4.94","4.82","","8.01","","9.17","","8.61","","",""
"Channel Islands","CHI","2020","","","","","","","","","","","","","","","","","","","","","","","","","","57.79","","","","85427","","","","","","","","","","8.16","","","","","","","","","",""
"Cote d'Ivoire","CIV","1991","50.1300010681152","26.3199996948242","34.2400016784668","13.4300003051758","11.9099998474121","14.1899995803833","33.810001373291","35.2099990844727","33.1199989318848","","","","12514.3170031645","42.47","","65.45","","54.14","","48.34","","48.95","84.24","","84.53","67.58","","68.04","33.1856830211139","4593511","57.3836657169991","","","","","6.34","","6.76","","6.62","","8.15","","9.57","","9.02","","5.09999990463257","24.7700004577637","18.2199993133545"
"Congo, Dem. Rep.","COD","2010","35.9199981689453","8.36999988555908","21.9400005340576","8.6899995803833","3.3199999332428","13.8999996185303","21.7800006866455","19.3199996948242","24.1700000762939","","","","2524.82511887038","42.11","","34.88","","38.48","","63.92","","64.82","68.73","","68.79","66.3","","66.79","48.8709503081419","23054964","93.00160046559","","","","","3.22","","4.71","","3.98","","5.6","","9.1","","7.19","","6.69999980926514","23.1100006103516","15.0200004577637"
"Comoros","COM","1997","20.1000003814697","12.9799995422363","15.6400003433228","14.6899995803833","12.7299995422363","15.8699998855591","26.3600006103516","19.3799991607666","30.5300006866455","","","","12046.9858113137","17.06","","20","","18.54","","31.74","","32.55","52.95","","53.15","42.31","","42.89","37.6415409238354","116839","59.943342776204","","","","","4.97","","4.35","","4.58","","8.48","","10.75","","9.71","","16.8899993896484","38.689998626709","30.5400009155273"
"Djibouti","DJI","2013","4.61999988555908","2.78999996185303","3.50999999046326","13.1800003051758","7.34999990463257","16.9099998474121","56.6699981689453","64.4899978637695","51.6599998474121","","","","10925.0453583961","41.78","","42.72","","42.29","","50.11","","53.25","70.15","","73.35","60.67","","63.9","39.0780621487801","368181","71.4326443335709","","","","","12.15","","11.14","","11.54","","22.26","","21.43","","21.81","","54.3400001525879","65.9100036621094","61.3899993896484"
"Ecuador","ECU","1962","","","","","","","","","","","","","","","20.63","","86.24","","52.69","","17.63","","","93.72","","","55.05","","","","","18.8113529662825","","","","","","","","","","","","","","","","","",""
"European Union","EUU","1983","","","","","","","","","","33.4348095063012","64.6270780212658","48.3058453022933","","","47.184770197324","","55.3559362815022","","51.2181442301581","","39.9270387523635","","","70.7105381629867","","","54.6284008017239","","","","","","","","","","","","","","","","24.3307917962333","","19.3538460760077","","21.6586856543719","","",""
"Fiji","FJI","2002","18.4899997711182","11.0100002288818","13.3000001907349","21.7600002288818","18.1399993896484","23.3500003814697","48.4000015258789","59.0999984741211","43.6800003051758","","","","27300.0747587434","25.16","","52.15","","39.02","","35.94","","37.09","77.88","","79.34","57.14","","58.54","31.1067355917854","311836","46.1479198767334","","","","","5.37","","3.35","","3.98","","15.48","","6.9","","9.59","","61.6199989318848","61.439998626709","61.5"
"United Kingdom","GBR","1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","3.5","","2.6","","","","","","","","",""
